CPU (user): 6418.203125	CPU (sys): 4161.765625	RAM: 293.94921875
CPU (user): 6429.03125	CPU (sys): 4168.96875	RAM: 285.33984375
CPU (user): 6433.453125	CPU (sys): 4172.703125	RAM: 282.62890625
CPU (user): 6488.390625	CPU (sys): 4208.15625	RAM: 300.10546875
CPU (user): 6504.21875	CPU (sys): 4217.796875	RAM: 288.234375
CPU (user): 6511.921875	CPU (sys): 4223.5	RAM: 286.68359375
CPU (user): 6521.34375	CPU (sys): 4229.890625	RAM: 283.40625
CPU (user): 6526.890625	CPU (sys): 4234.140625	RAM: 276.55859375
CPU (user): 6569.109375	CPU (sys): 4258.28125	RAM: 300.5234375
CPU (user): 6585.140625	CPU (sys): 4268.671875	RAM: 275.0078125
CPU (user): 6606.890625	CPU (sys): 4282.046875	RAM: 273.5546875
CPU (user): 6613.453125	CPU (sys): 4286.78125	RAM: 283.25
CPU (user): 6635.921875	CPU (sys): 4299.953125	RAM: 273.5546875
CPU (user): 6680.796875	CPU (sys): 4327.078125	RAM: 291.8046875
